image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000052.jpg,"['car', 'person']",-9.636529922485352,-9.85887336730957,-14.042143821716309,-8.886663436889648,-13.63976764678955,-12.358637809753418,13.36925220489502,-6.942275047302246,-15.409979820251465,-10.247435569763184,-11.328181266784668,-12.16842555999756,-12.112984657287598,-8.72481632232666,14.475086212158203,-16.140058517456055,-8.905335426330566,-9.42994499206543,-11.636075973510742,-11.784733772277832
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000054.jpg,['bird'],-12.024434089660645,-15.431626319885254,6.867749214172363,-12.93368434906006,-17.086153030395508,-16.034774780273438,-16.335237503051758,-14.49070167541504,-19.97315788269043,-15.55539608001709,-19.41165542602539,-13.399062156677246,-17.25594139099121,-14.768046379089355,-15.22949504852295,-21.51166343688965,-14.522496223449709,-13.736835479736328,-19.51090431213379,-18.493785858154297
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000056.jpg,['cat'],-15.83356761932373,-14.73171329498291,-12.015475273132324,-14.63767910003662,-13.455008506774902,-15.604232788085938,-11.945852279663086,12.881845474243164,-14.088528633117676,-13.224332809448242,-17.41004753112793,-14.932822227478027,-16.994640350341797,-12.074858665466309,-12.09274959564209,-12.872519493103027,-17.782175064086914,-9.033950805664062,-11.22158145904541,-16.21241569519043
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000059.jpg,['dog'],-17.821056365966797,-16.81588363647461,-13.299877166748049,-15.444025993347168,-10.607451438903809,-17.31853485107422,-8.114663124084473,-13.20871353149414,-8.615967750549316,-12.813606262207031,-10.633631706237791,10.446600914001465,-11.579341888427734,-18.369230270385746,-6.496975421905518,-13.46742343902588,-10.783238410949709,-11.212966918945312,-12.072927474975586,-11.917767524719238
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000062.jpg,['cat'],-13.149209022521973,-11.657893180847168,-11.216564178466797,-15.899270057678224,-16.229663848876953,-17.542251586914062,-10.743069648742676,10.201763153076172,-13.70978546142578,-15.45271110534668,-18.722766876220703,-16.461849212646484,-17.018482208251953,-11.641039848327637,-8.022886276245117,-10.127683639526367,-17.555936813354492,-13.752256393432615,-13.946459770202637,-14.784873008728027
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000064.jpg,['aeroplane'],8.3804349899292,-13.38649845123291,-13.717940330505373,-8.794829368591309,-7.561084270477295,-11.332056045532228,-5.9504265785217285,-13.219732284545898,-13.90176773071289,-14.393265724182127,-15.87363624572754,-19.886201858520508,-11.72987937927246,-13.484232902526855,-7.197334289550781,-11.39301872253418,-10.393178939819336,-16.20907974243164,-10.740019798278809,-10.398024559020996
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000067.jpg,"['chair', 'person']",-18.470277786254883,-13.21738338470459,-15.80007266998291,-10.690821647644045,-3.304469347000122,-16.014163970947266,-17.704668045043945,-16.946630477905273,-0.4280130565166473,-16.4681339263916,-11.17951202392578,-12.002985000610352,-10.754837036132812,-15.707697868347168,3.911009550094605,-7.836040019989014,-12.00954246520996,-2.954942464828491,-14.547507286071776,-3.4707226753234863
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000073.jpg,['cow'],-18.95060920715332,-15.21604061126709,-8.275424003601074,-13.94653606414795,-16.031448364257812,-14.926594734191896,-14.446650505065918,-7.0804290771484375,-14.305948257446287,0.6149332523345947,-15.391098976135254,-11.18851375579834,-3.0875396728515625,-14.47740077972412,-7.362434864044189,-11.586066246032717,-5.560640811920166,-13.299606323242188,-9.412851333618164,-18.882495880126957
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000075.jpg,['bus'],-15.69690227508545,-14.113113403320312,-12.944376945495604,-13.46462631225586,-17.55970001220703,8.865817070007324,-7.405196666717529,-12.08607292175293,-16.444482803344727,-13.573883056640623,-12.200425148010254,-13.060746192932127,-9.194637298583984,-8.797893524169922,-6.4209465980529785,-17.395444869995117,-10.533538818359377,-16.79436683654785,-10.406563758850098,-14.099223136901855
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000076.jpg,['horse'],-13.341477394104004,-14.77667236328125,-10.914588928222656,-10.376164436340332,-8.616576194763184,-14.503283500671388,-10.632771492004396,-9.51946258544922,-15.47055435180664,-5.20604133605957,-11.269856452941896,-13.010958671569824,6.055946350097656,-17.035236358642578,-14.053611755371094,-12.2783842086792,-10.36830234527588,-16.08013916015625,-15.148404121398926,-12.886731147766112
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000078.jpg,['dog'],-15.039481163024902,-17.844945907592773,-13.484084129333496,-11.800618171691896,-14.354995727539062,-17.730005264282227,-14.751033782958984,-10.078704833984377,-15.995668411254885,-16.123523712158203,-15.313815116882324,10.017172813415527,-16.351242065429688,-15.947958946228027,-10.24782371520996,-19.06480598449707,-18.53878402709961,-13.548422813415527,-18.936384201049805,-5.511916637420654
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000080.jpg,['dog'],-12.890225410461426,-17.787799835205078,-17.534425735473633,-15.717455863952637,-12.414352416992188,-17.963363647460938,-14.436352729797363,-6.018883228302002,-16.219940185546875,-13.844754219055176,-14.511879920959473,7.8577399253845215,-12.555806159973145,-13.194500923156738,-13.847016334533691,-11.849596977233888,-17.39166259765625,-11.781993865966797,-16.929908752441406,-4.336932182312012
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000082.jpg,"['boat', 'motorbike', 'person']",-8.744194984436035,-5.454554557800293,-14.76379680633545,-5.543943881988525,-10.657034873962402,-17.45900535583496,-12.595986366271973,-14.594783782958984,-6.7700724601745605,-18.73879814147949,-16.428836822509766,-6.931481838226318,-6.968789577484131,5.347236156463623,7.531214237213135,-13.693360328674316,-10.87521743774414,-9.372780799865724,-13.507052421569824,-13.027546882629396
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000084.jpg,['sheep'],-11.035959243774414,-13.94208812713623,-9.905198097229004,-12.0546236038208,-13.480023384094238,-15.3921480178833,-10.723058700561523,-10.173933029174805,-15.211053848266602,0.1738226860761642,-18.488605499267575,-7.70552921295166,-13.70847225189209,-14.00045680999756,-15.571575164794922,-15.669621467590332,-0.2059993743896484,-13.278276443481444,-12.572924613952637,-14.323472023010254
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000090.jpg,"['bicycle', 'person']",-13.88158893585205,-12.894853591918944,-3.3288307189941406,-9.512458801269531,5.434267997741699,-12.81507396697998,-8.234679222106934,-10.85373592376709,-0.970895528793335,-9.56503677368164,-11.102922439575195,-4.595260143280029,-10.396369934082031,-8.292496681213379,11.947035789489746,-8.956475257873535,-6.018970966339111,-8.96468448638916,-13.713339805603027,-7.501788139343262
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000107.jpg,['chair'],-12.770421028137209,-6.834491729736328,-15.856295585632324,-11.624903678894045,0.6402034163475037,-14.547310829162598,-15.249920845031738,-13.934328079223633,3.5522243976593018,-12.14510726928711,-13.813855171203612,-7.026707649230957,-14.638992309570312,-14.323531150817873,0.5832732915878296,-10.66187858581543,-9.373746871948242,1.8425863981246948,-14.56238842010498,1.1029348373413086
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000115.jpg,"['cat', 'chair']",-15.025834083557127,-14.641464233398438,-12.135872840881348,-15.238945960998535,-15.410197257995604,-15.556200981140137,-11.894911766052246,8.305004119873047,-10.632820129394531,-13.352962493896484,-18.03500366210937,-6.74570369720459,-18.57560539245605,-16.37942886352539,-11.402876853942873,-16.217914581298828,-19.496875762939453,-6.151503562927246,-13.79737663269043,-15.00643825531006
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000116.jpg,['cat'],-13.738192558288574,-13.988296508789062,-6.957460403442383,-13.894242286682127,-12.88295841217041,-16.795358657836914,-14.834909439086914,7.352029800415039,-10.436689376831056,-15.649304389953612,-14.610129356384276,-9.83432960510254,-19.137340545654297,-10.1091947555542,-12.009511947631836,-11.39552402496338,-14.376504898071287,-8.790283203125,-13.209485054016112,-19.04833221435547
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000119.jpg,['horse'],-14.184592247009276,-11.800857543945312,-10.855854988098145,-11.817103385925291,-6.18356990814209,-13.992796897888184,-11.341680526733398,-16.075971603393555,-7.38417911529541,-14.56403350830078,-12.414459228515623,-5.4449663162231445,6.970691680908203,-12.279614448547363,9.817183494567873,-16.24925994873047,-12.201244354248049,-10.864765167236328,-11.824448585510254,-14.976203918457031
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000120.jpg,['boat'],-10.881547927856444,-15.345576286315918,-7.076976299285889,5.479048728942871,-16.50979232788086,-13.41563892364502,-5.8022990226745605,-12.224474906921388,-11.135347366333008,-13.22451114654541,-11.578261375427246,-13.460541725158691,-11.668225288391112,-18.710527420043945,-9.726655006408691,-8.650009155273438,-15.617389678955078,-20.145153045654297,-6.475861549377441,-9.44335651397705
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000123.jpg,['bird'],-8.441180229187012,-15.206336975097656,8.038336753845215,-15.6547269821167,-15.433554649353027,-13.350926399230955,-14.740412712097168,-10.635457992553713,-19.13761329650879,-13.93008804321289,-12.750131607055664,-15.617805480957031,-14.64641571044922,-20.12797737121582,-16.307968139648438,-18.06223487854004,-20.485260009765625,-14.459474563598633,-14.630925178527832,-10.095433235168455
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000133.jpg,"['bicycle', 'car']",-10.263630867004396,11.320448875427246,-8.446120262145996,-13.542265892028809,-13.167351722717283,-7.752701282501221,-7.437874317169189,-10.519977569580078,-14.19607162475586,-10.112560272216797,-13.908719062805176,-9.395313262939451,-10.776994705200195,-17.359922409057617,-8.68646240234375,-11.437315940856934,-14.314197540283203,-11.919614791870115,-9.965222358703612,-17.54038429260254
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000134.jpg,['bird'],3.013568878173828,-16.92986488342285,-3.204712390899658,-14.540301322937012,-13.897193908691406,-14.261441230773926,-14.508336067199709,-11.949248313903809,-15.968704223632812,-16.873964309692383,-19.021839141845703,-19.584577560424805,-17.918779373168945,-16.684770584106445,-14.523420333862305,-16.40020179748535,-14.158546447753906,-12.11023998260498,-16.61837387084961,-13.860518455505373
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000138.jpg,"['dog', 'person']",-14.735869407653809,-8.644803047180176,-9.19543743133545,-11.4767427444458,-12.26883029937744,-11.901190757751465,-15.823090553283691,-11.29647445678711,-4.407017707824707,-0.2687049508094787,-12.412184715270996,-7.56465482711792,-8.522851943969727,-10.994379997253418,0.1720203161239624,-3.2135024070739746,-12.117300033569336,-18.425594329833984,-14.526949882507324,-12.135201454162598
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000140.jpg,['boat'],-5.378145217895508,-9.973433494567873,-9.789570808410645,-0.5761317014694214,-14.718884468078612,-5.5461859703063965,-3.594937324523926,-11.685677528381348,-5.00862979888916,-10.239931106567385,-14.961592674255373,-16.89472007751465,-9.752785682678224,-14.284354209899902,-6.524543285369873,-6.568906784057617,-7.45761251449585,-10.34589672088623,-7.624142646789551,-14.668329238891602
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000145.jpg,"['bottle', 'tvmonitor']",-12.936059951782228,-3.5118067264556885,-11.689301490783691,-10.198771476745604,-3.1278281211853027,-14.235703468322754,-9.85871410369873,-15.183990478515623,-4.622994899749756,-14.215182304382324,-13.559490203857422,-9.1204195022583,-17.59951400756836,-11.306815147399902,-11.022007942199709,-4.557942867279053,-11.216472625732422,-10.943278312683104,-5.917182445526123,-2.615440845489502
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000149.jpg,"['chair', 'sofa']",-10.315089225769045,-7.623878955841064,-13.38329029083252,-12.830410957336426,-11.669881820678713,-10.268588066101074,-7.305382251739502,-10.582232475280762,-13.657804489135742,-11.599151611328123,-12.344599723815918,-4.123516082763672,-8.412134170532227,-14.021489143371582,-2.8938279151916504,-3.712268590927124,-11.765495300292969,3.811981439590454,-11.597489356994627,-6.218371868133545
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000163.jpg,['car'],-17.78278160095215,-10.254998207092283,-11.96837329864502,-13.13887882232666,-13.617273330688477,-8.72895336151123,0.6319177150726318,-3.4127273559570312,-23.763139724731445,-11.519697189331056,-15.06790256500244,-10.239716529846191,-14.714025497436523,-14.463570594787598,-2.654128313064575,-10.088048934936523,-13.810528755187988,-9.413856506347656,-10.388896942138672,-10.331963539123535
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000174.jpg,['car'],-0.1321803778409958,-15.504937171936035,-7.575776100158691,-8.8617582321167,-8.295506477355957,-12.687500953674316,0.0569984503090381,-13.46607780456543,-13.399242401123049,-7.706949234008789,-17.260009765625,-19.75873374938965,-9.86530876159668,-13.470133781433104,-13.17408847808838,-18.710033416748047,-9.711814880371094,-14.7528657913208,-9.178759574890137,-16.585121154785156
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000177.jpg,['horse'],-16.74958610534668,-16.71336555480957,-14.41006851196289,-14.29222011566162,-17.654708862304688,-17.340900421142578,-16.29404067993164,-17.46040153503418,-15.772592544555664,-0.4270230531692505,-18.487380981445312,-8.67847728729248,2.728395462036133,-15.76941204071045,-17.003313064575195,-11.308832168579102,-12.810564041137695,-14.130613327026367,-16.38869285583496,-15.473847389221191
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000182.jpg,['cat'],-14.626930236816406,-15.841297149658203,-12.513347625732422,-9.22607707977295,-8.131991386413574,-15.567953109741213,-17.5667781829834,1.3010190725326538,-5.197463035583496,-12.296523094177246,-4.400851249694824,-1.838590383529663,-14.499740600585938,-11.357253074645996,-6.659055233001709,-8.686446189880371,-11.978385925292969,-9.140447616577148,-11.772948265075684,-8.74091625213623
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000183.jpg,['dog'],-13.247673034667969,-17.186410903930664,-11.944876670837402,-16.217676162719727,-2.7226715087890625,-17.95441436767578,-15.143455505371094,-9.385931968688965,-12.615682601928713,-16.93600082397461,-14.561807632446287,9.142980575561523,-13.06898593902588,-11.611754417419434,-5.525002956390381,-13.18586254119873,-16.048202514648438,-9.809770584106444,-14.640460014343262,-11.911541938781738
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000190.jpg,['train'],-9.798102378845217,-7.739288806915283,-6.787036895751953,-8.11474895477295,-17.48198699951172,-6.282913684844971,-7.088624000549316,-9.99856948852539,-10.93560791015625,-9.057733535766602,-18.883434295654297,-14.87415885925293,-17.268312454223633,-8.77778434753418,-4.1067399978637695,-14.5573091506958,-11.68931770324707,-9.938920974731444,-4.048173904418945,-14.388323783874512
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000194.jpg,"['bicycle', 'person']",-12.206570625305176,8.980401992797852,-11.9160737991333,-10.76736831665039,-9.07514476776123,-12.034159660339355,-10.068524360656738,-17.534954071044922,-9.273193359375,-11.277421951293944,-11.880669593811035,-9.110081672668455,-12.841180801391602,-14.992352485656738,7.023250102996826,-12.522902488708496,-11.81852912902832,-11.69403076171875,-7.050557613372803,-15.653231620788574
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000195.jpg,"['boat', 'person']",-11.456710815429688,-10.589916229248049,-3.757998466491699,3.1336050033569336,-11.506814002990724,-11.191326141357422,-10.502522468566896,-15.35252285003662,-13.041009902954102,-5.06244707107544,-13.277724266052246,-8.243392944335938,-7.701639652252197,-6.348501205444336,10.61319351196289,-12.20701026916504,-8.748262405395508,-12.375730514526367,-12.869681358337402,-6.093821048736572
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000203.jpg,"['car', 'motorbike', 'person']",-12.165204048156738,-8.469168663024902,-9.146718978881836,-10.751736640930176,-15.603714942932127,-4.202974796295166,4.422152996063232,-16.39563751220703,-13.566017150878906,-6.397137641906738,-10.784034729003906,-9.783448219299316,-2.3406476974487305,-2.994138240814209,-4.58669376373291,-16.012319564819336,-6.065515041351318,-6.429809093475342,-10.430879592895508,-13.48244571685791
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000204.jpg,['person'],-16.6328182220459,-5.479397296905518,-14.152384757995604,-10.261765480041504,-8.039251327514648,-11.11846160888672,-2.889626979827881,-14.59535026550293,2.1955811977386475,-13.203170776367188,-17.598859786987305,-6.470235824584961,-12.713282585144045,-19.808128356933597,5.075385570526123,-16.375558853149414,-8.99405288696289,-10.94036102294922,-11.422774314880373,-10.222676277160645
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000213.jpg,['person'],-15.816088676452637,-17.59099006652832,-16.79311752319336,-13.231398582458496,-10.988045692443848,-18.96386337280273,-11.162453651428224,-10.367027282714844,-9.862482070922852,-14.410547256469728,-16.398298263549805,-11.99635410308838,-12.630833625793455,-16.4783878326416,17.522802352905273,-17.060195922851562,-15.80081844329834,-20.004379272460938,-17.717966079711914,-16.042041778564453
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000215.jpg,['person'],-14.658470153808594,-17.01289939880371,-15.713580131530762,-15.25505256652832,-10.43422508239746,-18.679244995117188,-12.032757759094238,-15.670476913452148,-14.96934413909912,-15.082379341125488,-10.14194107055664,-10.956395149230955,-9.463890075683594,-13.711714744567873,21.219572067260746,-11.367980003356934,-15.742223739624023,-11.847042083740234,-16.39084243774414,-10.349043846130373
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000219.jpg,['horse'],-10.83356761932373,-13.575431823730469,-12.8832368850708,-10.154704093933104,-14.027655601501465,-17.17088508605957,-5.886038780212402,-12.472837448120115,-13.405054092407228,-3.4410839080810547,-10.48818302154541,-12.565119743347168,4.69492769241333,-15.27100658416748,-5.6074652671813965,-11.576401710510254,-4.1207051277160645,-15.970285415649414,-11.43320655822754,-18.221969604492188
C:/Users/nivih/Downloads/VOCtrainval_11-May-2012\VOCdevkit\VOC2012\JPEGImages\2008_000222.jpg,"['cat', 'person']",-14.360594749450684,-18.810651779174805,-13.614676475524902,-16.17243003845215,-14.11402416229248,-20.88800048828125,-11.584099769592283,0.7617762088775635,-7.368526935577393,-14.754724502563477,-16.21527099609375,-0.7555443644523621,-17.617292404174805,-17.904138565063477,10.42775058746338,-18.345367431640625,-9.532087326049805,-17.38051986694336,-17.217016220092773,-12.170839309692385
